!Version=1,type=LEV,encoding=MBCS,,,
FILECONT, TITLE,,,,
3,1,,,,
UserSettings,U_VALUES,U_DATETIME,,,
UserSettingsValues,m AD,yyyy-mm-dd hh:mm,,,
G_START,G_TS,G_NPROFILES,G_DATATYPE,,
2020/03/31 00:00,600,5,0,,
L_NODEID,L_PIPELEVEL,L_PTITLE,,,
     OF1,0,,,,
     OF2,0,,,,
     OF3,0,,,,
     OF4,0,,,,
     OF5,0,,,,
P_DATETIME,1,2,3,4.0,5.0
2020-04-02 10:40:00,1.0,1.0,1.0,1.0,1.0
2020-04-02 10:50:00,1.0099999999999998,1.0099999999999998,1.0099999999999998,1.0099999999999998,1.0099999999999998
2020-04-02 11:00:00,1.035,1.035,1.035,1.035,1.035
2020-04-02 11:10:00,1.055,1.055,1.055,1.055,1.055
2020-04-02 11:20:00,1.075,1.075,1.075,1.075,1.075
2020-04-02 11:30:00,1.1,1.1,1.1,1.1,1.1
2020-04-02 11:40:00,1.125,1.125,1.125,1.125,1.125
2020-04-02 11:50:00,1.15,1.15,1.15,1.15,1.15
2020-04-02 12:00:00,1.17,1.17,1.17,1.17,1.17
2020-04-02 12:10:00,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002
2020-04-02 12:20:00,1.23,1.23,1.23,1.23,1.23
2020-04-02 12:30:00,1.25,1.25,1.25,1.25,1.25
2020-04-02 12:40:00,1.2799999999999998,1.2799999999999998,1.2799999999999998,1.2799999999999998,1.2799999999999998
2020-04-02 12:50:00,1.305,1.305,1.305,1.305,1.305
2020-04-02 13:00:00,1.33,1.33,1.33,1.33,1.33
2020-04-02 13:10:00,1.35,1.35,1.35,1.35,1.35
2020-04-02 13:20:00,1.38,1.38,1.38,1.38,1.38
2020-04-02 13:30:00,1.395,1.395,1.395,1.395,1.395
2020-04-02 13:40:00,1.42,1.42,1.42,1.42,1.42
2020-04-02 13:50:00,1.435,1.435,1.435,1.435,1.435
2020-04-02 14:00:00,1.4500000000000002,1.4500000000000002,1.4500000000000002,1.4500000000000002,1.4500000000000002
2020-04-02 14:10:00,1.4700000000000002,1.4700000000000002,1.4700000000000002,1.4700000000000002,1.4700000000000002
2020-04-02 14:20:00,1.475,1.475,1.475,1.475,1.475
2020-04-02 14:30:00,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002
2020-04-02 14:40:00,1.505,1.505,1.505,1.505,1.505
2020-04-02 14:50:00,1.52,1.52,1.52,1.52,1.52
2020-04-02 15:00:00,1.5299999999999998,1.5299999999999998,1.5299999999999998,1.5299999999999998,1.5299999999999998
2020-04-02 15:10:00,1.535,1.535,1.535,1.535,1.535
2020-04-02 15:20:00,1.545,1.545,1.545,1.545,1.545
2020-04-02 15:30:00,1.555,1.555,1.555,1.555,1.555
2020-04-02 15:40:00,1.565,1.565,1.565,1.565,1.565
2020-04-02 15:50:00,1.575,1.575,1.575,1.575,1.575
2020-04-02 16:00:00,1.575,1.575,1.575,1.575,1.575
2020-04-02 16:10:00,1.575,1.575,1.575,1.575,1.575
2020-04-02 16:20:00,1.575,1.575,1.575,1.575,1.575
2020-04-02 16:30:00,1.575,1.575,1.575,1.575,1.575
2020-04-02 16:40:00,1.575,1.575,1.575,1.575,1.575
2020-04-02 16:50:00,1.575,1.575,1.575,1.575,1.575
2020-04-02 17:00:00,1.575,1.575,1.575,1.575,1.575
2020-04-02 17:10:00,1.58,1.58,1.58,1.58,1.58
2020-04-02 17:20:00,1.585,1.585,1.585,1.585,1.585
2020-04-02 17:30:00,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999
2020-04-02 17:40:00,1.6,1.6,1.6,1.6,1.6
2020-04-02 17:50:00,1.605,1.605,1.605,1.605,1.605
2020-04-02 18:00:00,1.6099999999999999,1.6099999999999999,1.6099999999999999,1.6099999999999999,1.6099999999999999
2020-04-02 18:10:00,1.605,1.605,1.605,1.605,1.605
2020-04-02 18:20:00,1.6099999999999999,1.6099999999999999,1.6099999999999999,1.6099999999999999,1.6099999999999999
2020-04-02 18:30:00,1.605,1.605,1.605,1.605,1.605
2020-04-02 18:40:00,1.6,1.6,1.6,1.6,1.6
2020-04-02 18:50:00,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999
2020-04-02 19:00:00,1.575,1.575,1.575,1.575,1.575
2020-04-02 19:10:00,1.555,1.555,1.555,1.555,1.555
2020-04-02 19:20:00,1.545,1.545,1.545,1.545,1.545
2020-04-02 19:30:00,1.5299999999999998,1.5299999999999998,1.5299999999999998,1.5299999999999998,1.5299999999999998
2020-04-02 19:40:00,1.5099999999999998,1.5099999999999998,1.5099999999999998,1.5099999999999998,1.5099999999999998
2020-04-02 19:50:00,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002
2020-04-02 20:00:00,1.4700000000000002,1.4700000000000002,1.4700000000000002,1.4700000000000002,1.4700000000000002
2020-04-02 20:10:00,1.445,1.445,1.445,1.445,1.445
2020-04-02 20:20:00,1.42,1.42,1.42,1.42,1.42
2020-04-02 20:30:00,1.3900000000000001,1.3900000000000001,1.3900000000000001,1.3900000000000001,1.3900000000000001
2020-04-02 20:40:00,1.355,1.355,1.355,1.355,1.355
2020-04-02 20:50:00,1.33,1.33,1.33,1.33,1.33
2020-04-02 21:00:00,1.2999999999999998,1.2999999999999998,1.2999999999999998,1.2999999999999998,1.2999999999999998
2020-04-02 21:10:00,1.27,1.27,1.27,1.27,1.27
2020-04-02 21:20:00,1.235,1.235,1.235,1.235,1.235
2020-04-02 21:30:00,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002
2020-04-02 21:40:00,1.165,1.165,1.165,1.165,1.165
2020-04-02 21:50:00,1.145,1.145,1.145,1.145,1.145
2020-04-02 22:00:00,1.105,1.105,1.105,1.105,1.105
2020-04-02 22:10:00,1.0699999999999998,1.0699999999999998,1.0699999999999998,1.0699999999999998,1.0699999999999998
2020-04-02 22:20:00,1.04,1.04,1.04,1.04,1.04
2020-04-02 22:30:00,1.0099999999999998,1.0099999999999998,1.0099999999999998,1.0099999999999998,1.0099999999999998
2020-04-02 22:40:00,0.98,0.98,0.98,0.98,0.98
2020-04-02 22:50:00,0.9425,0.9425,0.9425,0.9425,0.9425
2020-04-02 23:00:00,0.905,0.905,0.905,0.905,0.905
2020-04-02 23:10:00,0.88,0.88,0.88,0.88,0.88
2020-04-02 23:20:00,0.855,0.855,0.855,0.855,0.855
2020-04-02 23:30:00,0.825,0.825,0.825,0.825,0.825
2020-04-02 23:40:00,0.795,0.795,0.795,0.795,0.795
2020-04-02 23:50:00,0.765,0.765,0.765,0.765,0.765
2020-04-03 00:00:00,0.765,0.765,0.765,0.765,0.765
