!Version=1,type=LEV,encoding=MBCS,,,
FILECONT, TITLE,,,,
3,1,,,,
UserSettings,U_VALUES,U_DATETIME,,,
UserSettingsValues,m AD,yyyy-mm-dd hh:mm,,,
G_START,G_TS,G_NPROFILES,G_DATATYPE,,
2020/03/31 00:00,600,5,0,,
L_NODEID,L_PIPELEVEL,L_PTITLE,,,
     OF1,0,,,,
     OF2,0,,,,
     OF3,0,,,,
     OF4,0,,,,
     OF5,0,,,,
P_DATETIME,1,2,3,4.0,5.0
2020-03-31 14:00:00,1.5499999999999998,1.5499999999999998,1.5499999999999998,1.5499999999999998,1.5499999999999998
2020-03-31 14:10:00,1.5699999999999998,1.5699999999999998,1.5699999999999998,1.5699999999999998,1.5699999999999998
2020-03-31 14:20:00,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999
2020-03-31 14:30:00,1.605,1.605,1.605,1.605,1.605
2020-03-31 14:40:00,1.625,1.625,1.625,1.625,1.625
2020-03-31 14:50:00,1.625,1.625,1.625,1.625,1.625
2020-03-31 15:00:00,1.615,1.615,1.615,1.615,1.615
2020-03-31 15:10:00,1.615,1.615,1.615,1.615,1.615
2020-03-31 15:20:00,1.595,1.595,1.595,1.595,1.595
2020-03-31 15:30:00,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999
2020-03-31 15:40:00,1.5699999999999998,1.5699999999999998,1.5699999999999998,1.5699999999999998,1.5699999999999998
2020-03-31 15:50:00,1.555,1.555,1.555,1.555,1.555
2020-03-31 16:00:00,1.5299999999999998,1.5299999999999998,1.5299999999999998,1.5299999999999998,1.5299999999999998
2020-03-31 16:10:00,1.5099999999999998,1.5099999999999998,1.5099999999999998,1.5099999999999998,1.5099999999999998
2020-03-31 16:20:00,1.485,1.485,1.485,1.485,1.485
2020-03-31 16:30:00,1.475,1.475,1.475,1.475,1.475
2020-03-31 16:40:00,1.44,1.44,1.44,1.44,1.44
2020-03-31 16:50:00,1.4300000000000002,1.4300000000000002,1.4300000000000002,1.4300000000000002,1.4300000000000002
2020-03-31 17:00:00,1.4100000000000001,1.4100000000000001,1.4100000000000001,1.4100000000000001,1.4100000000000001
2020-03-31 17:10:00,1.3900000000000001,1.3900000000000001,1.3900000000000001,1.3900000000000001,1.3900000000000001
2020-03-31 17:20:00,1.375,1.375,1.375,1.375,1.375
2020-03-31 17:30:00,1.3599999999999999,1.3599999999999999,1.3599999999999999,1.3599999999999999,1.3599999999999999
2020-03-31 17:40:00,1.335,1.335,1.335,1.335,1.335
2020-03-31 17:50:00,1.305,1.305,1.305,1.305,1.305
2020-03-31 18:00:00,1.295,1.295,1.295,1.295,1.295
2020-03-31 18:10:00,1.285,1.285,1.285,1.285,1.285
2020-03-31 18:20:00,1.25,1.25,1.25,1.25,1.25
2020-03-31 18:30:00,1.225,1.225,1.225,1.225,1.225
2020-03-31 18:40:00,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002
2020-03-31 18:50:00,1.185,1.185,1.185,1.185,1.185
